Instructor,A rate,Pass rate,Withdraw rate
"Lauritis, Beth Ann",74.0,98.0,0.5
"Feeser, Andrea V",84.0,100.0,0.0
"Gibson, Mary Robinson",26.25,78.0,7.5
"Grant, Julie H",42.0,87.0,4.6
"McMillan, Jeffrey J",36.75,84.25,6.0
"Hollingsworth, Carl W",34.0,92.0,2.0
"Tegen, Charles A",32.5,95.0,1.0
"Maiberger, Philip A",8.5,59.25,10.5
"Martin, Caleb Jay",41.0,97.0,1.0
"Madray, J Russell",25.75,84.5,7.25
"McCorkle, Emily Suzanne",32.6,88.4,2.6
"Garrison J, David Walter",37.2,92.00000000000001,1.8
"Krupa, Nicholas R.",36.333333333333336,87.0,3.3333333333333335
"Garrett, Jace B",25.0,90.0,4.0
"Weaver, Andy P",27.75,88.5,5.5
"Hawkins, Erin Michelle",41.0,96.0,3.0
"Schlicksup, Peter James",18.0,71.5,8.5
"Philo, Annieka C",45.25,94.5,1.25
"Goodson, Brian Matthew",31.5,87.5,3.0
"Ledbetter, John Howard",37.333333333333336,89.33333333333334,8.333333333333334
"Hawkins, James Craig",17.75,87.0,2.0
"Knause, Terry Daniel",47.8,90.4,7.2
"Barnes, James D",52.25,98.25,0.5
"Mammadov, Babak",45.666666666666664,96.33333333333333,1.0
"Hawk, Holly Rhiannion",36.0,98.66666666666667,0.0
"Polk, Ryan Christopher",18.666666666666668,92.66666666666667,0.0
"Gardner, Jesse",23.0,85.5,2.5
"Yazzie, Courtney Elaine",40.75,94.25,0.75
"McPhee, Gregory Patrick",41.0,97.5,1.5
"Vinson, Jeremy Michael",57.333333333333336,96.33333333333334,1.3333333333333333
"Pearse, Suzanne",65.33333333333333,94.0,2.0
"Harp, Nancy Lee",54.0,98.5,0.0
"Davis-Culler, Phebian L",79.0,97.0,0.0
"Cussatt, Marc A",58.666666666666664,97.33333333333333,0.0
"Lovern, Maryann Mishelle",47.0,94.0,0.0
"Layfield, Kevin D",88.0,96.0,4.0
"Massey, Hunter F",31.333333333333332,90.33333333333333,2.0
"Turner, Aaron Paul",46.0,96.0,1.0
"Su, Qiong",58.0,98.5,0.5
"Koc, Ali Bulent",26.0,100.0,0.0
"McLamore, Eric S",64.0,100.0,0.0
"Vassalos, Michael",19.75,77.25,2.0
"Berg, Nikolas L",57.5,98.5,1.0
"Willis, David Brian",30.5,89.0,1.5
"Thayer, Anastasia",16.0,83.5,0.0
"De Figueiredo Silva, Felipe",34.0,89.0,0.0
"Smith, Nathaniel B",77.0,100.0,0.0
"Soles, Misty B",91.5,98.0,0.0
"Yeargin, Richard Donell",84.0,100.0,0.0
"Connor, Clyde Keith",60.333333333333336,96.0,1.3333333333333333
"Neuder, Joel P",85.0,101.0,0.0
"Carter, Kelly Lamar",90.0,96.0,4.0
"Fry, Edmond H",75.25,93.0,3.0
"Plumblee, John T",46.0,96.0,0.0
"Ellison, Kirk W",74.0,100.0,0.0
"Whitrow, Nicholas Philip Edward",82.0,95.66666666666667,2.6666666666666665
"Godfrey, Michael G",43.0,85.33333333333333,2.6666666666666665
"Colbert, Isaac Sean",32.5,97.5,0.0
"Payne, Gilbert Wayne",59.5,100.0,0.0
"Moore, Edward F",70.0,93.0,2.6666666666666665
"Carter, Natalie Anne",43.0,89.66666666666667,1.3333333333333333
"Cadorette, Deborah Jo",72.0,100.0,0.0
"Young, Kyle McLendon",85.0,100.0,0.0
"Pitts, Rosalyn Mew",71.0,100.0,0.0
"Stokowski, Sarah E",69.0,100.0,0.0
"Corr, Christopher Thomas",77.33333333333333,98.33333333333333,2.0
"Butler, Janna Magette",80.33333333333333,96.99999999999999,1.6666666666666667
"Tremblay, Suzanna Eve",64.57142857142857,94.57142857142857,1.5714285714285714
"Rapaport, Lisa G",50.0,85.0,9.0
"Williams, Justin Patrick",50.5,97.75,0.0
"Markus, David M",56.5,91.5,4.0
"Weisensee, Katherine E",91.0,100.0,0.0
"Coggeshall, John M",13.5,75.5,8.5
"Scafuri, Michael P",75.0,100.0,0.0
"Lloyd, Kristin Marie",60.5,96.0,2.0
"Hambright-Belue, Sallie Rebecca",62.0,89.0,0.0
"Terim, Berrin",57.5,95.0,2.5
"Floyd, Harrison Michael",58.0,100.0,0.0
"Jefferies, Byron B",50.0,91.0,0.0
"Coker, Kathleen Nicole",67.0,100.0,0.0
"Sculco, Steven James",55.5,90.5,0.0
"Yusufoglu, Cihan",66.5,89.5,7.0
"Nilsson, R Kent",32.5,83.5,2.5
"Trick, Amy Christine",35.5,96.0,0.0
"Wilkerson, Julie Poe",67.0,100.0,0.0
"Mendez, Clarissa A",84.5,100.0,0.0
"Roberts, Kendall Maurice",50.0,100.0,0.0
"Kiser, Kyle David",63.0,101.0,0.0
"Hunkar, Ertunc",57.0,100.0,0.0
"Savory, Thomas Mark",87.5,99.5,0.0
"Urueta, Michael Benjamin",71.0,99.0,0.0
"Watson, Bradford A",50.0,100.0,0.0
"Brown, Timothy Burl",64.0,100.0,0.0
"Heine, Ulrike Ann-Sophie",52.0,96.5,3.5
"Tessmer, Lavender Rose",87.0,100.0,0.0
"Pass, Brandon George",52.0,86.0,5.0
"Soyka, Gregory Anton",65.0,100.0,0.0
"del Monte, Richard",65.0,97.5,0.0
"Bello, Norman Edward",59.0,100.0,0.0
"Charzewski, Jennifer Graham",79.0,100.0,0.0
"Craig, Lynn George Fred",40.0,90.0,10.0
"Battisto, Dina G.",72.0,95.33333333333334,4.333333333333333
"Lee, David M",35.0,97.5,2.5
"Laurence, Peter L",63.5,92.0,0.0
"Usher, Christopher Todd",78.0,100.0,0.0
"Dorsey, Rayshad Earnest",13.0,100.0,0.0
"Albright, Dustin Graham",74.0,95.0,5.0
"Blouin, Vincent Yves Marie",71.5,98.0,1.5
"Beerman, Bryan Mathew",78.0,100.0,0.0
"Allison, David J",33.0,88.0,11.0
"Bolton, Jonathan Aden",56.0,89.5,0.0
"Stevens, Brooks Harris",78.0,89.0,6.0
"Brandt, Kiley Ann",73.0,86.0,0.0
"Musick, Amanda Denise",85.5,97.0,0.0
"McDonald, Maya Aida",50.0,92.0,0.0
"Odum Walker, Beth Camille",90.0,97.0,3.0
"Manson V, Joseph Richard",93.0,100.0,0.0
"Ferguson, Mandy Loraine",77.0,85.0,8.0
"Gerhard, David Sidney",53.0,93.0,0.0
"Cohen, Jennifer B",77.5,95.5,0.0
"Cummings, John Howard",50.0,100.0,0.0
"Donar, David Stewart",50.0,100.0,0.0
"Kiser, Christopher J",89.0,100.0,0.0
"Goodrich, Tasha Lynette",72.66666666666667,98.66666666666667,0.0
"Fattibene, Anthony Pasquale",62.5,98.75,0.0
"Hurdich, Jason",54.75,96.0,0.0
"Clements, William Ryals",80.0,97.33333333333333,1.6666666666666667
"Cripps, Jody Herbert",67.0,67.0,0.0
"Connick, David Edward",69.55555555555556,97.66666666666667,0.6666666666666666
"Gyngard, Frank Martin",55.0,95.0,2.0
"Altstatt, Hamilton S",59.0,91.5,8.5
"Brooks, Johnell O",80.0,100.0,0.0
"Kivett, Dee Ann Wood",93.0,100.0,0.0
"Zhang, Jiangfeng",79.0,100.0,0.0
"Henderson, Andrew J",34.0,96.0,0.0
"Agarwal, Ankit",19.0,101.0,0.0
"Schmid, Matthias Josef Alexander",40.0,94.0,7.0
"Lawler, Benjamin John",69.0,93.5,0.0
"Papari, Behnaz",59.0,100.0,0.0
"Pisu, Pierluigi",33.0,100.0,0.0
"Zhu, Qilun",74.0,100.0,0.0
"Krugh, Matthew Charles",60.0,100.0,0.0
"Jia, Yunyi",61.0,100.0,0.0
"Farahani, Saeed",82.0,100.0,0.0
"Mino, Michael George",39.0,95.0,0.0
"Forbes, James Wendell",70.0,91.0,6.5
"Prucka, Robert G",62.0,100.0,0.0
"Liu, Shunyu",47.0,87.0,13.0
"Ayalew, Beshah",71.0,100.0,0.0
"OBrien, Stephanie",86.0,94.0,0.0
"Bolt, Brian G",36.5,90.5,5.0
"Miller, Richelle Lorraine",62.18181818181818,99.0,0.36363636363636365
"Hwang, Erika Christine",78.0,101.0,0.0
"Birrenkott, Glenn P",75.5,100.0,0.0
"Youssief, Mohammed Abdelhay Elsayed",85.0,100.0,0.0
"Long, Nathan M",15.0,65.0,20.0
"Lascano, Gustavo Jose",72.0,99.0,0.0
"Bruner, Richard Hamilton",77.0,100.0,0.0
"Gleaton, Heather Kathleen",85.5,100.0,0.0
"Ali, Ahmed Badr Abdelwahab",87.0,100.0,0.0
"Duckett, Susan Kay",38.0,88.0,2.5
"Abdelaziz, Khaled",58.666666666666664,97.66666666666666,1.3333333333333333
"Strickland, James Robert",78.0,100.0,0.0
"Vernon, Kristine Lang",64.0,101.0,0.0
"Aguerre, Matias Jose",30.0,100.0,0.0
"Pratt, Scott Lee",30.0,86.0,4.0
"Arguelles-Ramos, Mireille",50.0,91.5,0.0
"Starr-Moss, Alison Nicole",91.0,98.5,0.0
"Ingram-Smith, Cheryl Jean",26.0,73.0,5.0
"Beebe, Lindsey Lee",36.5,91.5,0.5
"Anderson, Heidi Dodson",80.5,96.0,1.5
"Ford, Geoffrey T",74.0,94.75,1.5
"Feltus, Frank Alexander",77.5,90.0,1.0
"Morris, James C",80.0,100.0,0.0
"Smith, Kerry S.",92.0,100.0,0.0
"Wang, Liangjiang",90.0,100.0,0.0
"Liang, Haiying",78.0,100.0,0.0
"Vanegas Gamboa, Diana Carolina",24.0,82.0,0.0
"Owino, Tom O.",54.0,98.0,2.0
"Todd, Lauren Juliana",55.0,101.0,0.0
"Harvey, Tyler George",81.0,90.33333333333333,10.0
"Dean, Delphine",89.5,94.0,6.5
"Bruce, Maria Margarita Rodriguez",95.0,100.0,0.0
"Webb, Charles K",53.0,96.0,4.0
"Booth, Brian William",75.0,97.0,0.0
"Nagatomi, Jiro",79.5,89.5,9.0
"Thomas, Vishal Joseph",61.5,83.0,6.0
"Vertegel, Alexey Alexandrovich",65.0,86.0,3.0
"Gao, Zhi",46.0,96.0,0.0
"Gilmore, Jordon Anthony Stowe",63.0,97.0,0.0
"Tam, Laura Elizabeth",84.5,100.0,0.0
"Harman, Melinda K",81.5,100.0,0.0
"Alexander, Angela Antoinette",64.0,100.0,0.0
"Dunn, Heather Walker",57.0,86.0,0.0
"Desjardins, John D",83.0,83.0,17.0
"Ribeiro Cerqueira, Susana Isabel",83.0,83.0,17.0
"Weinbrenner, Donna Ruth",62.0,90.66666666666667,4.0
"Harcum, Sarah W",22.0,89.0,11.0
"Vyavahare, Narendra R",55.0,91.0,9.0
"Laberge, Martine",88.0,101.0,0.0
"Mercuri, Jeremy J",86.0,100.0,0.0
"Mercuri, Jennifer Marie",94.0,100.0,0.0
"Ye, Tong",60.0,100.0,0.0
"Baldwin, William S",73.0,95.0,0.0
"Goldman, Chandler Hobson",42.0,94.0,1.5
"Moulton, David Laurence",78.42857142857143,95.42857142857143,2.0
"Novak, Megan Veronica",39.5,93.0,2.0
"Kaisa, Tafadzwa R",64.9,95.18,1.5
"Minor, Verna Christine M",28.0,89.0,2.0
"Willemssens, Kelly Ashley",33.5,95.0,0.5
"Deconinck, Aimee D",33.0,92.0,3.0
"May, Cassandra Joy",60.4,95.8,2.6
"Wagner, Lisa Ruggiero",65.66666666666667,94.66666666666667,2.6666666666666665
"Cummings, John R",27.5,81.0,4.5
"Chapman, Susan Caroline",73.5,97.5,1.5
"Abernathy, Virginia Ellen",57.25,90.5,3.0
"Redding, Nathan W",48.3,91.8,2.2
"Blob, Richard W.",61.285714285714285,96.57142857142857,1.7142857142857142
"Van den Hurk, Peter",85.0,100.0,0.0
"Espinoza, Nora R",47.0,89.0,4.0
"Powder, Kara Elizabeth",94.0,100.0,0.0
"Richards, Vincent Paul",35.5,83.5,10.5
"Endara, Carmen Lorena",27.5,90.75,2.25
"George, Julia M",69.0,97.0,0.0
"Kerrigan, Julia Louise",63.0,92.75,3.75
"Bain, Lisa J",49.333333333333336,86.00000000000001,7.333333333333333
"Rock, Kylie D",71.0,99.0,0.5
"Temesvari, Lesly",55.0,92.0,2.6666666666666665
"Liu, Qing",89.0,97.0,0.0
"Qanungo, Kaustubha Ratan",82.375,98.875,1.25
"Gallicchio, Vincent S",93.0,97.0,0.0
"Turnbull, Matthew W",22.0,79.0,9.0
"Rice, Charles D",92.0,100.0,0.0
"Wei, Yanzhang",82.0,100.0,0.0
"Feliciano, David M",93.0,100.0,0.0
"Parkinson, Christopher L",89.0,100.0,0.0
"Anderson, Denise Marie",67.0,94.0,7.0
"Tumblin, William Ernest",71.875,99.0,0.75
"Lockhart, Kristy Payant",72.0,97.5,2.5
"Acker, Serita",46.5,93.5,3.0
"Ternes, Samantha Jo",60.0,95.5,2.5
"Burton, ONeil B",52.5,94.0,5.5
"Fields, David Matthew",72.0,95.0,0.0
"Bundrick, Alfred E",66.16666666666667,95.83333333333334,0.8333333333333334
"Monaghan, Neil Martin",54.0,98.5,0.5
"Onan, David Lander",62.5,96.0,4.0
"Britton, John S",54.5,95.0,5.0
"Williams, Jill Richardson",42.0,90.0,5.0
"Christensen, Monica Rae",93.0,98.5,1.0
"Kennedy, Alexis Michelle",89.28571428571429,98.14285714285714,2.0
"Balts, Keith W",62.2,97.0,1.0
"Watson, Lawrence Reed",78.6,97.8,0.2
"De Iulio, Edward Barry",82.5,98.5,0.75
"Danuser, Emily Nicole",69.5,96.0,2.5
"Sanabria Hernandez, Hugo",81.0,94.0,0.0
"Beeson, Thomas Stuart",58.0,75.0,25.0
"Amer, Omar Alsanusi",87.33333333333333,96.0,1.6666666666666667
"Sternhagen, Melissa M",21.333333333333332,80.66666666666666,8.333333333333334
"Kaye, Nigel Gregory",75.4,99.00000000000001,0.6
"Ross, Brandon E",56.5,96.0,3.0
"Forghanparast, Farhang",81.0,99.33333333333333,1.0
"Beckner, Rachelle Leigh",84.0,100.0,0.0
"Sarasua, Wayne A",32.666666666666664,93.66666666666666,0.6666666666666666
"Stoner, Michael Wallace",58.0,99.0,0.0
"Cid Montoya, Miguel",32.0,92.0,2.0
"Shen, Jiayun",60.0,100.0,0.0
"Andrus, Ronald D.",26.0,96.0,1.0
"Rockow, Zoraya Roldan",55.0,98.66666666666667,0.0
"de la Garza, Jesus M.",33.0,100.0,0.0
"Khan, Abdul A",19.5,82.5,1.5
"Esmaeilpoursaee, Amirreza",92.0,100.0,0.0
"Piratla, Kalyan Ram",71.0,96.5,0.5
"Bolding, Candice Wicker",83.5,97.5,1.5
"Redmond, Laura Mae",58.0,91.0,6.0
"Naser, Mohannad Z",39.5,97.0,0.0
"Pang, Weichiang",69.0,95.0,4.0
"Ravichandran, Nadarajah",33.0,90.0,0.0
"Le, Tuyen Thanh",80.0,100.0,0.0
"Leiva Villacorta, Fabricio",65.0,101.0,0.0
"Fan, Chao",85.0,100.0,0.0
"Salek, M Sabbir",71.0,100.0,0.0
"Murray-Tuite, Pamela Marie",36.0,90.0,9.0
"Taylor, Dennis F",27.0,72.0,12.0
"Houjeiry, Tania",32.0,75.5,6.0
"Cooper, Destinee Johnson",42.0,82.0,6.0
"Schroeder, Jacob D",28.333333333333332,84.66666666666666,6.0
"Han, Tingting",31.0,77.33333333333333,9.333333333333334
"Geiculescu, Olt E",31.0,90.66666666666667,5.0
"Ennis, Elliot",56.5,87.25,3.0
"Hwu, Shiou-jyh",42.5,82.5,5.0
"Cox, Princess MyCia",59.8,83.99999999999999,4.6
"Williams, Charles Bryson",31.0,80.0,4.0
"Yadav, Ashok",18.0,69.0,12.0
"Choi, Sooyun",17.333333333333332,71.33333333333333,4.333333333333333
"Delach, Diana Lauren",22.0,78.0,5.333333333333333
"Schvaneveldt, Stephen Jon",21.0,83.66666666666667,7.333333333333333
"Hickman, Thomas D",38.666666666666664,89.0,1.6666666666666667
"Plampin, James Nelson",88.83333333333333,88.83333333333333,11.333333333333334
"Smith, Ashlyn Dennis",32.666666666666664,79.0,4.666666666666667
"Kim, Byoungmoo",50.0,101.0,0.0
"Jacobson, David",28.0,95.0,0.0
"Casabianca, Leah Beck",26.0,78.0,7.0
"Estes, Shanna Lynn",55.0,100.0,0.0
"Tennyson, Andrew Gregory",86.0,92.0,9.0
"Brumaghim, Julia",57.0,100.0,0.0
"Chumanov, George",51.0,100.5,0.0
"Sun, Ya-ping",40.0,100.0,0.0
"Anker, Jeffrey Nathan",63.0,101.0,0.0
"Melvin, Adam Thomas",33.0,91.0,0.0
"Davis, Eric Mikel",29.0,70.0,1.0
"Bruce, David A",27.0,88.0,0.0
"Norfolk, Christopher William",47.0,92.0,0.0
"Roberts, Mark E",75.0,100.0,0.0
"Roat, Suzanne Deirdre",66.0,96.0,0.0
"Husson, Scott M",86.0,98.0,0.0
"Larsen, Jessica Marie",85.0,99.0,0.0
"Melvin, Elizabeth Micelle",48.0,94.0,0.0
"Thies, Mark C",45.0,99.0,0.0
"Yang, Ming",30.0,100.0,0.0
"Zhang, Yanhua",83.0,91.0,8.0
"Rao, Ling",20.0,90.0,0.0
"An, Yanming",38.666666666666664,90.66666666666667,9.333333333333334
"Chen, Su-I",81.0,96.0,0.0
"Fecher, Daniel Leland",82.66666666666667,98.00000000000001,1.6666666666666667
"Glaser, Marianne Herr",87.66666666666667,96.33333333333333,2.0
"Condon, Vanessa Anne",81.33333333333333,92.66666666666666,1.3333333333333333
"Baker, Caitlin E",73.0,98.5,0.0
"Calabrese, Christopher Giacomo Yoshi",66.5,95.0,1.5
"Ash, Erin Michelle",63.5,100.5,0.0
"McKenzie, Ashley Hedrick",93.0,100.0,0.0
"Brewer, Charles John",80.66666666666667,100.33333333333334,0.0
"Davis-Bryant, Kevin Lynn",61.0,87.5,4.25
"Covert, Marshall Thomas",63.0,100.0,0.0
"Crocker, Sara Grumbles",72.0,90.5,8.0
"Davis, Alyssa Christine",86.5,100.0,0.0
"Dixon, Lindsey C",79.0,89.0,5.0
"Ratliff, William Charles",78.75,97.5,0.0
"Team, Morgan Leigh",86.0,97.0,0.0
"Pikel, Ashley Lauren",61.25,92.5,5.0
"Walker, Brittanny Lanay",81.5,96.25,1.75
"Garza, Mattelyn Nicole",81.0,97.25,1.25
"Davis, Alexis Zachary",74.0,90.0,7.5
"Saucier, Camille Jacquelyne",68.5,98.0,0.0
"Rodgers, Michael E.",88.0,101.0,0.0
"Robertson, Nigel F",89.0,94.0,5.0
"Cranmer, Gregory Keith",71.5,100.0,0.0
"Boatwright, Brandon Carl",90.0,100.0,0.0
"Wingate, Victoria Skye",87.0,96.0,0.0
"Gilmore, James Nicholas",84.0,98.5,0.0
"Jones, Karyn O",67.0,100.0,0.0
"DiRusso, Carlina Domenica",90.0,100.0,0.0
"Sellnow, Timothy",89.0,101.0,0.0
"Pyle, Andrew Stephen",89.0,101.0,0.0
"Harrison, Virginia Susan",89.0,100.0,0.0
"Kittelstad, Catherine Ann",33.0,81.5,2.0
"Wooster, Edgar Daniels",25.0,78.0,8.0
"Adkins-Daniel, Alexandra Mariana",44.0,78.33333333333334,14.333333333333334
"Engineer, Margi Jigneshkumar",51.0,69.0,12.0
"Plaue, Christopher M",39.0,78.0,12.0
"Patrick, Ryan Stewart",32.666666666666664,76.66666666666666,15.333333333333334
"Widman, Nicolas Benjamin",62.166666666666664,95.5,1.8333333333333333
"Xu, Ran",61.0,95.5,0.5
"Re, Matthew Joseph",48.666666666666664,93.33333333333333,0.0
"Lowe, Rose M",70.0,90.0,7.0
"Feaster, Yvon H.",25.5,75.5,6.0
"Shue, Mitch",93.33333333333333,99.66666666666666,0.3333333333333333
"Ransom, Timothy Scott",54.0,87.0,3.0
"Smotherman, Mark K",47.333333333333336,95.66666666666667,2.0
"Sorber, Jacob M",16.0,49.0,33.0
"Zhang, Zhenkai",64.0,90.0,3.0
"Goddard, Wayne D",18.0,94.0,2.0
"Yuan, Xiaoyong",85.5,97.0,0.5
"Drachova, Svetlana V",43.333333333333336,78.0,10.666666666666666
"Robb, Andrew C",56.5,82.0,13.5
"Taylor, Constance Louise",51.0,93.66666666666667,2.0
"Brinkley, Julian Langston",85.0,98.0,1.0
"Rodeghero, Paige Anne",77.66666666666667,89.0,7.0
"Ge, Rong",78.33333333333333,91.66666666666666,4.333333333333333
"Pese, Mert",63.25,95.25,3.75
"Iuricich, Federico",55.0,96.0,2.0
"Dhillon, Daljit Singh",33.0,76.0,10.0
"Babu, Sabarish Venkat",26.0,89.0,4.0
"Duchowski, Andrew T",60.0,100.0,0.0
"Park, Jinkyung Katie",80.0,95.0,2.0
"Volonte, Matias",83.0,95.0,2.0
"Barwulor, Catherine",27.0,97.0,0.0
"Cheng, Long",61.0,100.0,0.0
"Toxtli Hernandez, Carlos",80.0,90.0,7.0
"Masino, Aaron J",86.0,100.0,0.0
"Razi, Abolfazl",58.333333333333336,77.0,7.0
"Li, Nianyi",76.66666666666667,90.0,10.0
"Flathmann, Christopher Tod",88.0,100.5,0.0
"Van Scoy, Roger Larry",43.25,95.25,1.5
"Jin, Shuangshuang",55.0,95.0,5.0
"Freeman, Guo",71.5,98.5,1.5
"Kraemer, Eileen Theresa",78.0,92.5,0.0
"Dean, Brian Christopher",20.0,66.0,20.0
"Liu, Kai",89.5,95.5,4.5
"Luo, Feng",60.0,99.0,2.0
"Huang, Siyu",92.0,100.0,0.0
"Yu, Lu",56.6,91.39999999999999,3.0
"Morris, Eric A",39.0,72.0,6.0
"Kinney, Edward Aaron",42.0,100.0,0.0
"Nocks, Barry C",67.0,100.0,0.0
"Dyckman, Caitlin",62.0,82.5,3.5
"Waugaman, Gretchen E",67.5,100.0,0.0
"Jackson, Nathaniel M",78.0,96.5,0.0
"Bingenheimer, Kirk Alan",46.0,100.0,0.0
"Sharma, Harnish",70.5,99.5,0.0
"Gauthier, Richard William",47.0,101.0,0.0
"Boulding, Alastair Wright",76.66666666666667,100.0,0.0
"Burgett, Joseph Michael",61.0,100.33333333333333,0.0
"Yoon, Jonghan",63.5,97.5,2.0
"Mousavi Rizi, Seyed Ehsan",38.0,92.0,4.0
"Bell, Michael Frederick",43.0,86.0,7.0
"Townsend, Craig N",8.0,100.0,0.0
"Corley, Nicholas L",73.0,99.0,0.0
"Gajjar, Dhaval R",52.0,99.0,0.0
"Abukhalaf, Amer Hamad Issa",69.0,100.0,0.0
"Malone, Bryan W",82.0,100.0,0.0
"Lucas, Jason D",82.0,100.0,0.0
"Sharma, Vivek",55.666666666666664,100.0,0.0
"Neel, Catherine Maroska",52.0,77.0,5.0
"Babb, Bryn Zimmermann",79.0,91.0,0.0
"Spellman, Christopher Wilton",87.0,94.0,0.0
"Radford, Katelyn McCulley",89.0,100.0,0.0
"Pyatt, Ti-Ana Zanoviah",91.0,100.0,0.0
"Hosler, Cheryl L",88.0,100.0,0.0
"Florencio Da Costa, Rodney",71.0,71.0,29.0
"Li, Xiang",37.5,87.5,12.5
"Summey, Anthony K",62.0,85.0,8.0
"Kunkel, Deborah Elizabeth",64.5,95.5,3.0
"Breazel, Ellen Hepfer",66.0,88.0,3.0
"Huang, Whitney K",86.0,98.5,0.0
"Ke, Zhihong",51.5,90.5,1.5
"Kim, Hongki",76.0,99.0,1.5
"Tripp, John Frederick",67.0,97.75,0.75
"Vaughn, David E",77.0,94.5,5.5
"Mefford, Olin T",83.33333333333333,95.0,0.0
"Lavalla, Joseph Vincent",80.0,80.0,0.0
"Reid, William J",26.0,78.0,6.666666666666667
"Cai, Qing",71.88888888888889,86.77777777777777,8.444444444444445
"Harrell, William R",69.1,89.8,5.0
"Koley, Goutam",14.0,76.0,6.0
"Martin, Anthony Q",19.5,85.5,2.0
"Raza, Tehseen Z",76.72727272727273,97.36363636363637,0.9090909090909091
"Kapadia, Apoorva Deepak",81.91666666666667,91.25,5.75
"Russell, Harlan B",34.0,76.0,17.0
"Zhao, Lianfeng",34.0,88.0,2.0
"Zhang, Lan",75.0,96.5,0.0
"Hubbard, Stephen J",35.0,81.0,2.0
"Baum, Carl W",33.0,77.0,7.0
"Groff, Richard E",61.5,98.0,0.0
"Edrington, Christopher Shannon",61.0,100.0,0.0
"Dong, Liang",47.0,93.0,5.0
"Wang, Pingshan",17.0,96.0,0.0
"Smith, Melissa Crawley",67.0,67.0,17.0
"Ryckman, Judson Douglas",58.0,90.0,0.0
"Brahma, Sukumar Makarand",48.5,72.0,13.5
"Afghah, Fatemeh",36.0,98.0,2.0
"Ma, Xiaolong",76.5,100.5,0.0
"Wu, Yongkai",91.0,96.0,3.5
"Brooks, Richard R",44.0,69.0,19.0
"Singh, Rajendra",57.5,100.5,0.0
"Wang, Yongqiang",68.5,100.0,0.0
"Raza, Hassan",88.0,100.0,0.0
"Calhoun, Jon Cameron",89.0,89.0,0.0
"Hadidi, Ramtin",33.0,83.0,17.0
"Guo, Linke",71.0,100.0,0.0
"Abd Almageed, Wael",60.0,100.0,0.0
"Campbell, Jacob B",26.0,81.5,5.5
"Ivankovic, Miren",48.0,91.0,3.3333333333333335
"Hanssen, Frederick Andrew",14.2,91.86666666666666,1.0666666666666667
"Adhikari, Pratistha",38.0,98.0,2.0
"Kanode, Alexander",66.0,100.0,0.0
"Posmanick, Benjamin James",45.5,97.5,1.0
"Mclain, Travis S",27.0,74.0,3.0
"Jaros, Benjamin R",44.0,98.0,0.0
"Stalvey, Michael B",42.5,88.0,2.5
"Laha, Meghna",53.0,96.0,5.0
"Eaton, Matthew Ryan",45.0,92.0,6.0
"Xing, Youwei",45.0,99.0,1.5
"Dey, Titir",53.5,95.5,2.5
"Williams, Dean A",18.0,97.0,0.0
"Nwoye, Chukwuma G",53.0,98.0,2.0
"Thomas, Charles J",19.0,86.0,10.0
"Li, Guo",45.0,97.0,0.0
"Leganza, Jonathan Michael",39.5,84.0,4.5
"Guzman, Kendyl Haley",95.0,95.0,5.0
"Banerjee, Srijan",31.5,95.5,2.5
"Hao, Yan",60.0,99.5,0.0
"Hu, Jingyun",63.0,89.0,9.0
"Sweeney, Carol A.",27.333333333333332,85.0,5.0
"Melo, Vitor C",56.0,95.0,0.0
"Loeb, Alexander M",36.0,86.0,5.0
"Hobbs, Bradley Keith",27.0,73.5,3.0
"Sharma, Krishna",95.0,100.0,0.0
"Dunagan, Nicholas Dell",55.0,95.0,0.0
